ts,type,plan_index,plan_time_utc,plan_path,action,reason
2026-02-11T16:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T16:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T17:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T17:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T17:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T17:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T18:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T18:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T18:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T18:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T19:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T19:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T19:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T19:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T20:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T20:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T20:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T20:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T21:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T21:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T21:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T21:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T22:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T22:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T22:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T22:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T23:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T23:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T23:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T23:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-12T00:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-12T00:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-12T00:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-12T00:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-12T01:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-12T01:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-12T01:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
